isbn,feature
0192126040,"[-0.94304603 -0.37790692 -0.30016533 ... -0.54150957 -0.4660557
  0.53044015]"
0060973129,"[-0.803475   -0.29428494 -0.13448317 ... -0.5320456  -0.47786015
  0.5345127 ]"
0374157065,"[-0.7951002  -0.40665215 -0.74995494 ... -0.56671846 -0.4690712
  0.46486843]"
0399135782,"[-0.8745193  -0.3030817  -0.13918303 ... -0.5432278  -0.4462272
  0.4748135 ]"
1582380805,"[-0.8950024  -0.43578503 -0.86044735 ... -0.5198706  -0.46459875
  0.5096375 ]"
0762412119,"[-0.87560177 -0.358345   -0.81561744 ... -0.3916287  -0.42018545
  0.52160627]"
0520242335,"[-0.92413837 -0.6109953  -0.9598275  ... -0.58711433 -0.49192762
  0.48684934]"
0771074670,"[-0.8625262  -0.3345074  -0.55315435 ... -0.46933448 -0.43552983
  0.48671606]"
0395264707,"[-0.9258093  -0.43138057 -0.4145837  ... -0.52866673 -0.43686965
  0.49155256]"
1558746218,"[-0.7896595  -0.30260336 -0.5476284  ... -0.04603468 -0.4035997
  0.5536485 ]"
0452264464,"[-0.9234456  -0.4574265  -0.52551293 ... -0.5432278  -0.4462272
  0.4748135 ]"
1841721522,"[-0.91943586 -0.668508   -0.99468935 ... -0.39834562 -0.41827703
  0.494581  ]"
1879384493,"[-0.76177526 -0.38298777 -0.8205596  ... -0.54834497 -0.4455728
  0.49476945]"
0061076031,"[-0.83927447 -0.47560313 -0.81988394 ... -0.24405736 -0.44187877
  0.5185339 ]"
3525335423,"[-0.95191413 -0.5207715  -0.854659   ... -0.5320456  -0.47786015
  0.5345127 ]"
3453065123,[-0.8929092 -0.5368292 -0.8533876 ... -0.569208  -0.4640282  0.4805581]
0375759778,"[-0.9295996  -0.38627768 -0.6665895  ... -0.5432278  -0.4462272
  0.4748135 ]"
0425163091,"[-0.91880447 -0.27908608 -0.21122266 ... -0.57678795 -0.48100105
  0.5064497 ]"
0375406328,"[-0.90136856 -0.18693393 -0.40439814 ... -0.46933448 -0.43552983
  0.48671606]"
0747204020,"[-0.9200419  -0.48960543 -0.5773169  ... -0.3916287  -0.42018545
  0.52160627]"
0449005615,"[-0.8735189  -0.31646127  0.04079205 ... -0.50808144 -0.4403331
  0.46469584]"
0060168013,"[-0.7821003  -0.2896802   0.15613478 ... -0.46933448 -0.43552983
  0.48671606]"
067176537X,"[-0.80012596 -0.3243733  -0.6748563  ... -0.4551339  -0.4195797
  0.5123444 ]"
0061099686,"[-0.9488294  -0.41671365 -0.85114306 ... -0.5615101  -0.4743888
  0.5031157 ]"
0553582909,"[-0.90148497 -0.33531275 -0.34395945 ... -0.5635122  -0.49175283
  0.5104524 ]"
0441011799,"[-0.9207698  -0.38761404 -0.4555726  ... -0.52866673 -0.43686965
  0.49155256]"
0671888587,"[-0.9313325  -0.3510591  -0.41063777 ... -0.5443953  -0.4846659
  0.4853188 ]"
0425182908,"[-0.920216   -0.4372311  -0.6957098  ... -0.54384834 -0.47100672
  0.5217349 ]"
0060914068,"[-0.92343396 -0.56017864 -0.9923776  ... -0.512617   -0.44719544
  0.4810125 ]"
0395611563,"[-0.80927885 -0.38711306 -0.16243048 ... -0.5370454  -0.47293985
  0.49122667]"
0753506440,"[-0.9484991  -0.66785675 -0.9819137  ... -0.512617   -0.44719544
  0.4810125 ]"
0312970242,"[-0.9019091  -0.24782605  0.12779075 ... -0.5360456  -0.46403673
  0.4752013 ]"
0843101083,"[-0.6136677  -0.13902307  0.33340657 ... -0.49224815 -0.4872901
  0.48756933]"
0060938412,"[-0.7719426  -0.20894264  0.6128335  ... -0.5615101  -0.4743888
  0.5031157 ]"
0803267177,"[-0.9396112  -0.56951016 -0.92058873 ... -0.58377975 -0.48380473
  0.47874346]"
0140067477,"[-0.82319146 -0.13015488  0.12138758 ... -0.5546654  -0.45440713
  0.465351  ]"
0312253370,"[-0.843219   -0.36846325 -0.45685878 ... -0.54384834 -0.47100672
  0.5217349 ]"
0553271202,"[-0.72153234 -0.21341348  0.15668547 ... -0.54384834 -0.47100672
  0.5217349 ]"
0226751260,"[-0.7670704  -0.25676787  0.25534657 ... -0.04603468 -0.4035997
  0.5536485 ]"
0060177594,[-0.8445146 -0.2283257  0.6492    ... -0.5258696 -0.4621476  0.4933698]
0375410538,"[-0.89629257 -0.4249979  -0.4979719  ... -0.46933448 -0.43552983
  0.48671606]"
1585670081,"[-0.59235066 -0.09466107  0.80252266 ... -0.51647323 -0.43499112
  0.49718618]"
0340767936,"[-0.79492754 -0.1867141   0.14391619 ... -0.46933448 -0.43552983
  0.48671606]"
0878300481,"[-0.91062427 -0.65115017 -0.98675424 ... -0.04603468 -0.4035997
  0.5536485 ]"
0743403843,"[-0.9210955  -0.26188064 -0.3201002  ... -0.52866673 -0.43686965
  0.49155256]"
0786926945,"[-0.70807225 -0.10562322  0.49789456 ... -0.5789285  -0.4854476
  0.53004473]"
0060930365,"[-0.7313885  -0.42080903 -0.5850432  ... -0.42104718 -0.45785305
  0.5099566 ]"
0590335545,"[-0.772532   -0.37811172 -0.57207596 ... -0.24405736 -0.44187877
  0.5185339 ]"
