user-id,feature
67,[3.19800116 0.54611681 0.64572642]
85,[-0. -0.  0.]
92,[1.43905909 0.37478149 1.51160313]
99,[-5.79885284e+00 -2.10335564e-02 -3.47430461e-03]
114,[-2.33890486e+00 -3.42011975e-02  1.98751489e-03]
176,[2.58189144 0.05355035 0.03590762]
178,[3.0521215  0.46313233 0.05788148]
183,[-1.2720902  -0.15283268 -0.31000844]
237,[2.92847125 0.52440926 2.26413874]
242,[ 1.20848789e+03  2.05065611e-03 -2.49868574e-03]
254,[ 2.68336524e+06  6.97928386e-07 -4.96255569e-05]
272,[-1.82720415 -0.00783045 -0.03930305]
384,[21.45187856  0.11893594  0.36258874]
387,[-0. -0. -0.]
388,[ 0.  0. -0.]
408,[-0. -0.  0.]
424,[-0. -0.  0.]
433,[ 0.  0. -0.]
440,[-1.13594727 -0.05810333  0.16837259]
444,[3.41544797 0.01798617 0.08003375]
486,[ 0.71114913  0.01083164 -0.00354025]
500,[1.21513545 0.01698936 0.79645727]
503,[-6.01719654 -0.62326538  0.04357225]
505,[-4.32481763e+00 -5.93528011e-04  7.79434889e-03]
565,[-1.22376209 -0.10581469  0.60790471]
595,[3.09847421 0.0316587  0.47220522]
625,[ 1.27229793e+01  1.29740444e-03 -1.68263290e-02]
638,[-6.42172138e+05 -1.69451390e-10 -1.43024845e-07]
643,[-1.67182497e+00 -1.65420262e-06  3.32262269e-03]
651,[-0.  0. -0.]
711,[3.05834306 0.5042603  0.72801774]
712,[-0. -0. -0.]
726,[0. 0. 0.]
730,[-0. -0.  0.]
735,[0. 0. 0.]
741,[0. 0. 0.]
744,[0.6662622  0.02952437 0.05943677]
776,[0.86463728 0.08875692 0.0612685 ]
805,[-4.14702146e+01 -6.62104371e-03  1.35035781e-01]
809,[2.63934785 0.51006195 1.14490132]
843,[-2.89819771 -0.23249389  0.05977477]
853,[0. 0. 0.]
882,[ 0.  0. -0.]
900,[0. 0. 0.]
901,[-2.06557647e+01 -2.03583687e-03 -1.58461618e-03]
914,[3.0154717  1.05997127 2.16868574]
915,[2.85706587 0.22471309 0.15237896]
929,[-0. -0.  0.]
989,[ 4.33911666  0.03951432 -1.31560025]
1009,[2.89239983 0.29528666 0.20708878]
1025,[-6.87577879e+01 -3.51446480e-04  5.53473868e-05]
1063,[0. 0. 0.]
1075,[-0. -0.  0.]
1113,[-0. -0. -0.]
1116,[-0. -0. -0.]
1129,[-1.82942681 -0.00930267  0.00488355]
1131,[-7.90069438e+01 -2.01833069e-06 -9.86283710e-04]
1155,[ 0.  0. -0.]
1167,[-0. -0.  0.]
1169,[-0. -0. -0.]
1184,[ 5.68820768  0.0219332  -0.05537562]
1192,[-0. -0.  0.]
1211,[-1.75593863 -0.04501801  0.08410502]
1254,[-6.95785312 -0.22321259 -0.73705125]
